"","Variable","mean.RMSE","orig.RMSE","K.or.D"
"69","OverallCondByQual","0.117043","0.118606","KEEP"
"70","OverallCondCubed","0.117162","0.117043","DROP"
"71","OverallCondCut","0.117122","0.117043","DROP"
"72","OverallCondExp","0.11715","0.117043","DROP"
"73","OverallQual","0.115973","0.117043","KEEP"
"74","OverallQualCubed","0.116023","0.115973","DROP"
"75","OverallQualCut","0.116185","0.115973","DROP"
"76","OverallQualExp","0.116567","0.115973","DROP"
"77","PavedDrive","0.115875","0.115973","KEEP"
"78","PoolArea","0.116258","0.115875","DROP"
"79","PoolQC","0.116391","0.115875","DROP"
"80","RecentRemodel","0.115753","0.115875","KEEP"
"81","RemodelAndSold","0.116488","0.115753","DROP"
"82","RoofMatl","0.116445","0.115753","DROP"
"83","RoofStyle","0.116216","0.115753","DROP"
"84","SaleCondition","0.113845","0.115753","KEEP"
"85","SaleType","0.113219","0.113845","KEEP"
"86","Season","0.113026","0.113219","KEEP"
"87","SellingSeason","0.113362","0.113026","DROP"
"88","SouthOf30","0.1133","0.113026","DROP"
"89","Street","0.113674","0.113026","DROP"
"90","TimeSinceSold","0.113549","0.113026","DROP"
"91","TotRmsAbvGrd","0.113481","0.113026","DROP"
"92","Utilities","0.113429","0.113026","DROP"
"93","x1417","0.112836","0.113026","KEEP"
"94","x1421","0.112245","0.112836","KEEP"
"95","x1424","0.111924","0.112245","KEEP"
"96","x1447","0.112286","0.111924","DROP"
"97","x1455","0.111867","0.111924","KEEP"
"98","x1683","0.112263","0.111867","DROP"
"99","x1686","0.112398","0.111867","DROP"
"100","x1689","0.112092","0.111867","DROP"
"101","x1701","0.111994","0.111867","DROP"
"102","x1723","0.111881","0.111867","DROP"
"103","x2441","0.111926","0.111867","DROP"
"104","x2448","0.112356","0.111867","DROP"
"105","x2458","0.111938","0.111867","DROP"
"106","x2490","0.112018","0.111867","DROP"
"107","x2512","0.11223","0.111867","DROP"
"108","x2524","0.112143","0.111867","DROP"
"109","x2529","0.112282","0.111867","DROP"
"110","x2530","0.112363","0.111867","DROP"
"111","x2537","0.111874","0.111867","DROP"
"112","x2812","0.111709","0.111867","KEEP"
"113","x2814","0.112075","0.111709","DROP"
"114","x2816","0.112013","0.111709","DROP"
"115","x2828","0.112152","0.111709","DROP"
"116","x2830","0.111899","0.111709","DROP"
"117","x2849","0.111643","0.111709","KEEP"
"118","x2858","0.11201","0.111643","DROP"
"119","x3332986","0.111324","0.111643","KEEP"
"120","x595","0.111213","0.111324","KEEP"
"121","x602","0.111308","0.111213","DROP"
"122","x606","0.111478","0.111213","DROP"
"123","x607","0.111237","0.111213","DROP"
"124","x608","0.110912","0.111213","KEEP"
"125","x610","0.111058","0.110912","DROP"
"126","x611","0.111446","0.110912","DROP"
"127","x612","0.11108","0.110912","DROP"
"128","x613","0.110928","0.110912","DROP"
"129","x616","0.110508","0.110912","KEEP"
"130","x624","0.110206","0.110508","KEEP"
"131","x632","0.109952","0.110206","KEEP"
"132","x633","0.110243","0.109952","DROP"
"133","x635","0.109462","0.109952","KEEP"
"134","x645","0.110226","0.109462","DROP"
