,Variable,mean.RMSE,orig.RMSE,K.or.D
2459,x1474,0.151707,0.151467,DROP
2458,x1475,0.151788,0.151467,DROP
2457,x1476,0.15258,0.151467,DROP
2456,x1477,0.151756,0.151467,DROP
2455,x1478,0.152221,0.151467,DROP
2454,x1479,0.152987,0.151467,DROP
2453,x148,0.151967,0.151467,DROP
2452,x1480,0.151987,0.151467,DROP
2451,x1481,0.152345,0.151467,DROP
2450,x1482,0.152353,0.151467,DROP
2449,x1483,0.152838,0.151467,DROP
2448,x1484,0.152159,0.151467,DROP
2447,x1485,0.152686,0.151467,DROP
2446,x1486,0.152517,0.151467,DROP
12,x99,0.330628,0.341281,KEEP
3019,countFa,0.118035,0.118202,KEEP
2443,x1489,0.152152,0.151663,DROP
2442,x149,0.15283,0.151663,DROP
2441,x1490,0.152551,0.151663,DROP
2440,x1491,0.152959,0.151663,DROP
2439,x1492,0.152682,0.151663,DROP
2438,x1493,0.151794,0.151663,DROP
2437,x1494,0.152474,0.151663,DROP
2436,x1495,0.152366,0.151663,DROP
2435,x1496,0.151896,0.151663,DROP
2434,x1497,0.152137,0.151663,DROP
2433,x1498,0.152674,0.151663,DROP
2432,x1499,0.152835,0.151663,DROP
2431,x15,0.152324,0.151663,DROP
2430,x150,0.15308,0.151663,DROP
2429,x1500,0.151946,0.151663,DROP
2428,x1501,0.152293,0.151663,DROP
2427,x1502,0.152126,0.151663,DROP
2426,x1503,0.152864,0.151663,DROP
2425,x1504,0.152555,0.151663,DROP
2424,x1505,0.152054,0.151663,DROP
2423,x1506,0.151854,0.151663,DROP
2422,x1507,0.152273,0.151663,DROP
2421,x1508,0.151973,0.151663,DROP
2420,x1509,0.152117,0.151663,DROP
2419,x151,0.151849,0.151663,DROP
2418,x1510,0.152096,0.151663,DROP
2417,x1511,0.152361,0.151663,DROP
2416,x1512,0.151819,0.151663,DROP
2415,x1513,0.152692,0.151663,DROP
2414,x1514,0.151796,0.151663,DROP
2413,x1515,0.152237,0.151663,DROP
2412,x1516,0.152378,0.151663,DROP
2411,x1517,0.152974,0.151663,DROP
2410,x1518,0.151795,0.151663,DROP
2409,x1519,0.15235,0.151663,DROP
2408,x152,0.151792,0.151663,DROP
2407,x1520,0.151996,0.151663,DROP
2406,x1521,0.151736,0.151663,DROP
2405,x1522,0.151818,0.151663,DROP
2404,x1523,0.153215,0.151663,DROP
2403,x1524,0.152304,0.151663,DROP
2402,x1525,0.152043,0.151663,DROP
2401,x1526,0.152807,0.151663,DROP
2400,x1527,0.152082,0.151663,DROP
2399,x1528,0.15183,0.151663,DROP
2926,x1053,0.149344,0.149486,KEEP
2397,x153,0.152076,0.151698,DROP
2396,x1530,0.152326,0.151698,DROP
2395,x1531,0.152307,0.151698,DROP
2394,x1532,0.152297,0.151698,DROP
2810,x1158,0.149486,0.149524,KEEP
2392,x1534,0.151893,0.15188,DROP
2391,x1535,0.152387,0.15188,DROP
2778,x1187,0.149524,0.149796,KEEP
2389,x1537,0.152441,0.15208,DROP
2388,x1538,0.152285,0.15208,DROP
2690,x1266,0.149796,0.149887,KEEP
2386,x154,0.152925,0.152144,DROP
2385,x1540,0.152403,0.152144,DROP
2384,x1541,0.152673,0.152144,DROP
2383,x1542,0.152857,0.152144,DROP
2382,x1543,0.152329,0.152144,DROP
2381,x1544,0.153017,0.152144,DROP
2380,x1545,0.153264,0.152144,DROP
2379,x1546,0.152657,0.152144,DROP
2378,x1547,0.152638,0.152144,DROP
2377,x1548,0.152801,0.152144,DROP
2376,x1549,0.152447,0.152144,DROP
2375,x155,0.152677,0.152144,DROP
2374,x1550,0.153287,0.152144,DROP
2373,x1551,0.153763,0.152144,DROP
2372,x1552,0.153572,0.152144,DROP
2371,x1553,0.152875,0.152144,DROP
2370,x1554,0.152218,0.152144,DROP
